"동별(1)",동별(2),2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 3/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4,2022 4/4
"동별(1)",동별(2),세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자,세대 (세대),계,한국인,등록외국인,세대당인구,65세이상고령자
"합계",소계,4450525,9682126,9450768,231358,2.12,1650367,4446296,9667669,9428372,239297,2.12,1667411
"합계",종로구,72797,151999,141978,10021,1.95,27787,72524,152211,141379,10832,1.95,27958
"합계",중구,63300,130764,120969,9795,1.91,24841,63139,130785,120437,10348,1.91,25055
"합계",용산구,109954,233734,219275,14459,1.99,38784,109805,233284,218650,14634,1.99,39037
"합계",성동구,133819,288941,282250,6691,2.11,47347,133305,288234,281000,7234,2.11,47720
"합계",광진구,169338,351073,338257,12816,2.00,53405,169291,351252,337416,13836,1.99,54071
"합계",동대문구,170068,353181,337106,16075,1.98,63807,169873,353601,336644,16957,1.98,64468
"합계",중랑구,187513,391110,386390,4720,2.06,74112,187413,390140,385318,4822,2.06,74920
"합계",성북구,197588,442596,431827,10769,2.19,76719,197082,441984,430397,11587,2.18,77475
"합계",강북구,144577,298622,294876,3746,2.04,65655,144313,297702,293660,4042,2.03,66307
"합계",도봉구,138541,314884,312788,2096,2.26,66253,138356,313989,311694,2295,2.25,66998
"합계",노원구,217952,509686,505503,4183,2.32,90914,217540,508014,503734,4280,2.32,92040
"합계",은평구,215225,474124,470289,3835,2.19,89308,213876,470602,466746,3856,2.18,89650
"합계",서대문구,145285,317159,305149,12010,2.10,55404,145797,319554,306337,13217,2.10,55996
"합계",마포구,180085,376062,365266,10796,2.03,55525,180084,375585,364638,10947,2.02,55914
"합계",양천구,181353,445270,442145,3125,2.44,71333,181187,444010,440881,3129,2.43,72393
"합계",강서구,273691,575813,570368,5445,2.08,95836,273697,574638,569166,5472,2.08,97128
"합계",구로구,181950,416570,393181,23389,2.16,75041,183655,418418,395315,23103,2.15,75890
"합계",금천구,119587,243872,230504,13368,1.93,42444,119583,242818,229642,13176,1.92,42928
"합계",영등포구,188768,398938,376216,22722,1.99,64285,188832,398085,375675,22410,1.99,64810
"합계",동작구,186966,392628,383637,8991,2.05,67863,185773,390432,380596,9836,2.05,68231
"합계",관악구,282806,500750,486787,13963,1.72,81713,283623,501226,486752,14474,1.72,82447
"합계",서초구,168175,409025,405076,3949,2.41,61703,167749,408451,404325,4126,2.41,62347
"합계",강남구,233687,534988,530103,4885,2.27,80836,232777,534103,529102,5001,2.27,81715
"합계",송파구,285175,665847,660211,5636,2.32,102103,284853,664514,658801,5713,2.31,103573
"합계",강동구,202325,464490,460617,3873,2.28,77349,202169,464037,460067,3970,2.28,78340
